question_id,answer_text,expected_concepts,answer_length,keyword_coverage,tfidf_similarity,semantic_similarity,concept_coverage,relevance_score,human_score,quality_class
101,"Vanishing gradients occur during backpropagation when continuous chain rule multiplication of small gradients through deep layers decays the gradient to near zero, preventing early layers from updating. Exploding gradients happen when weights are large, causing gradients to grow exponentially and destabilize weights. Residual connections mitigate this by providing identity skip connections where gradients flow directly without degradation. Normalization layers like batch normalization and layer normalization stabilize activation distributions, while ReLU avoids saturation in the positive domain.",vanishing gradient exploding gradient backpropagation chain rule activation saturation relu he initialization batch normalization layer normalization residual skip connections identity mapping gradient highway,76,0.84,0.28,0.499,0.826,0.411,94.0,Excellent
101,Vanishing gradient happens when gradients become very small in backpropagation so the early layers do not learn. Exploding gradient happens when numbers explode. Residual connections solve this by adding skip connections and batch norm normalizes inputs.,vanishing gradient exploding gradient backpropagation chain rule activation saturation relu he initialization batch normalization layer normalization residual skip connections identity mapping gradient highway,36,0.48,0.242,0.317,0.435,0.287,78.0,Good
101,Vanishing gradient is an error in deep networks when learning rate is too small and weights don't change. Skip connection skips some layers to train faster.,vanishing gradient exploding gradient backpropagation chain rule activation saturation relu he initialization batch normalization layer normalization residual skip connections identity mapping gradient highway,26,0.259,0.097,0.144,0.217,0.125,46.0,Average
101,Gradient disappears because network is too big.,vanishing gradient exploding gradient backpropagation chain rule activation saturation relu he initialization batch normalization layer normalization residual skip connections identity mapping gradient highway,7,0.136,0.116,0.118,0.13,0.117,20.0,Poor
102,"Scaled Dot-Product Attention computes attention as softmax of Q times K transpose divided by square root of dk, then multiplied by V. The scaling factor square root of dk is crucial because as the key dimension increases, the magnitude of dot products grows large, pushing the softmax function into regions with extremely small gradients. Dividing by square root of dk maintains unit variance and preserves healthy gradient flow.",query key value dot product matrix multiplication scale factor square root dk softmax variance distribution numerical stability vanishing gradients multi head projection,66,0.415,0.21,0.269,0.364,0.245,96.0,Excellent
102,"Attention computes Q and K dot product divided by square root of dk and takes softmax, then multiplies by V. The square root of dk scaling is needed so the dot product doesn't become too large and saturate the softmax.",query key value dot product matrix multiplication scale factor square root dk softmax variance distribution numerical stability vanishing gradients multi head projection,38,0.289,0.191,0.202,0.227,0.198,82.0,Good
102,It does matrix multiplication of query key value. Softmax is used to turn numbers into probabilities.,query key value dot product matrix multiplication scale factor square root dk softmax variance distribution numerical stability vanishing gradients multi head projection,16,0.245,0.193,0.205,0.227,0.2,48.0,Average
102,It is attention mechanism in transformers.,query key value dot product matrix multiplication scale factor square root dk softmax variance distribution numerical stability vanishing gradients multi head projection,6,0.014,0.0,0.0,0.0,0.0,18.0,Poor
104,"VAEs use an encoder to map inputs to a probabilistic latent space and decode samples via the reparameterization trick, optimizing reconstruction loss and KL divergence. Diffusion models discard explicit latent bottlenecks. They define a forward Markov chain that incrementally adds Gaussian noise to data and train a U-Net score-based model to reverse the process by predicting and subtracting noise step-by-step.",vae latent space reparameterization trick kl divergence reconstruction loss diffusion models forward noising markov chain reverse denoising score matching unet iterative sampling,57,0.581,0.23,0.357,0.545,0.306,95.0,Excellent
104,VAEs have an encoder and decoder with a latent space and use reparameterization trick. Diffusion models add noise step by step and then train a UNet to denoise iteratively.,vae latent space reparameterization trick kl divergence reconstruction loss diffusion models forward noising markov chain reverse denoising score matching unet iterative sampling,27,0.313,0.147,0.198,0.273,0.178,80.0,Good
104,VAEs generate images using autoencoders. Diffusion models generate images by removing noise.,vae latent space reparameterization trick kl divergence reconstruction loss diffusion models forward noising markov chain reverse denoising score matching unet iterative sampling,12,0.111,0.057,0.071,0.091,0.065,50.0,Average
104,Both are image generative models.,vae latent space reparameterization trick kl divergence reconstruction loss diffusion models forward noising markov chain reverse denoising score matching unet iterative sampling,5,0.011,0.051,0.028,0.0,0.037,22.0,Poor
201,"Expected prediction error can be analytically decomposed into three components: Bias squared, Variance, and Irreducible noise. Bias squared measures the difference between expected model predictions and true underlying function, indicating underfitting. Variance measures sensitivity of model predictions to training set fluctuations, indicating overfitting. Irreducible noise represents inherent stochasticity in the data generation process.",expected prediction error bias squared variance irreducible noise true target function model capacity underfitting overfitting decomposition expectation,53,0.621,0.401,0.468,0.588,0.441,95.0,Excellent
201,Bias squared is error from wrong assumptions leading to underfitting. Variance is error from sensitivity to training data causing overfitting. The third part is irreducible noise which cannot be removed by any model.,expected prediction error bias squared variance irreducible noise true target function model capacity underfitting overfitting decomposition expectation,33,0.4,0.229,0.276,0.353,0.257,82.0,Good
201,Bias means model is simple and underfits. Variance means model is complex and overfits. We need to find balance.,expected prediction error bias squared variance irreducible noise true target function model capacity underfitting overfitting decomposition expectation,19,0.205,0.105,0.134,0.176,0.122,56.0,Average
201,Tradeoff between bias and variance in ML.,expected prediction error bias squared variance irreducible noise true target function model capacity underfitting overfitting decomposition expectation,7,0.125,0.103,0.109,0.118,0.107,24.0,Poor
202,"Bagging trains independent base learners in parallel on bootstrap samples and aggregates their predictions, primarily reducing model variance with minimal impact on bias. Boosting trains weak learners sequentially, where each consecutive model fits the pseudo-residuals or gradients of previous learners, primarily driving down bias. Bagging is highly parallelizable and robust to outliers, while boosting can overfit noisy data if learning rate isn't controlled.",bagging bootstrap aggregation variance reduction independent parallel trees boosting sequential learning gradient descent residual fitting bias reduction outlier sensitivity learning rate subsampling,63,0.456,0.167,0.263,0.409,0.225,94.0,Excellent
202,"Bagging like Random Forest runs trees in parallel on bootstrap data to reduce variance. Boosting like XGBoost builds trees sequentially to correct errors and reduce bias, but is more sensitive to outliers.",bagging bootstrap aggregation variance reduction independent parallel trees boosting sequential learning gradient descent residual fitting bias reduction outlier sensitivity learning rate subsampling,32,0.282,0.136,0.172,0.227,0.158,82.0,Good
202,Random forest is bagging and gradient boost is boosting. One is parallel and other is sequential.,bagging bootstrap aggregation variance reduction independent parallel trees boosting sequential learning gradient descent residual fitting bias reduction outlier sensitivity learning rate subsampling,16,0.162,0.099,0.114,0.136,0.108,52.0,Average
202,They combine trees together.,bagging bootstrap aggregation variance reduction independent parallel trees boosting sequential learning gradient descent residual fitting bias reduction outlier sensitivity learning rate subsampling,4,0.051,0.054,0.05,0.045,0.052,20.0,Poor
