question_id,category,skill,difficulty,question,expected_concepts,job_roles
101,Deep Learning,Deep Learning,Medium,Explain the vanishing and exploding gradient problem in deep neural networks. How do architectural innovations like residual connections and normalization layers mitigate this?,vanishing gradient exploding gradient backpropagation chain rule activation saturation relu he initialization batch normalization layer normalization residual skip connections identity mapping gradient highway,"AI Engineer,Machine Learning Engineer,Deep Learning Engineer"
102,Transformers & NLP,Transformers,Hard,Break down the mathematical mechanics of the Scaled Dot-Product Attention in the Transformer architecture. Why is scaling by the square root of the key dimension necessary?,query key value dot product matrix multiplication scale factor square root dk softmax variance distribution numerical stability vanishing gradients multi head projection,"AI Engineer,NLP Engineer,Data Scientist"
103,Computer Vision,Computer Vision,Medium,How do Convolutional Neural Networks (CNNs) achieve translation invariance and parameter sharing compared to dense multi-layer perceptrons?,convolution receptive field sliding filter kernel shared weights spatial hierarchy pooling max pooling translation equivariance parameter efficiency local connectivity,"AI Engineer,Computer Vision Engineer,Machine Learning Engineer"
104,Generative AI,Generative AI,Hard,Differentiate between Variational Autoencoders (VAEs) and Diffusion Models in terms of generative modeling formulation and sampling process.,vae latent space reparameterization trick kl divergence reconstruction loss diffusion models forward noising markov chain reverse denoising score matching unet iterative sampling,"AI Engineer,Research Scientist,Machine Learning Engineer"
105,NLP & Embeddings,NLP,Medium,Explain the difference between static word embeddings like Word2Vec and contextual embeddings like BERT. How does BERT resolve polysemy?,word2vec skip-gram cbow static lookup vector polysemy bert masked language model bidirectional context self-attention token embedding dynamic contextual representation,"AI Engineer,NLP Engineer,Data Scientist"
106,AI Optimization,Optimization,Hard,"Explain how the Adam optimizer computes adaptive learning rates using first and second moments of gradients, including bias correction.",adam optimizer exponential moving average first moment mean second moment uncentered variance bias correction beta1 beta2 eps adaptive step size momentum rmsprop,"AI Engineer,Machine Learning Engineer,Deep Learning Engineer"
107,Reinforcement Learning,Reinforcement Learning,Hard,"What is the policy gradient theorem in Reinforcement Learning, and how does Proximal Policy Optimization (PPO) prevent destructive large policy updates?",markov decision process mdp policy gradient log likelihood cumulative reward advantage estimation ppo clipped surrogate objective trust region ratio clipping stability,"AI Engineer,Robotics Engineer,Research Scientist"
108,AI Deployment,MLOps,Medium,"What are model quantization and pruning techniques, and how do they optimize neural network inference on resource-constrained hardware?",quantization fp32 int8 post training quantization quantization aware training weight pruning sparsity latency memory footprint tensorrt onnx inference optimization,"AI Engineer,MLOps Engineer,Embedded AI Engineer"
201,Machine Learning,Machine Learning,Medium,Derive the mathematical formulation of the Bias-Variance Decomposition of Mean Squared Error. What components contribute to generalization error?,expected prediction error bias squared variance irreducible noise true target function model capacity underfitting overfitting decomposition expectation,"Machine Learning Engineer,Data Scientist,Data Analyst"
202,Ensemble Methods,Random Forest,Medium,"Contrast Bagging (Random Forest) and Boosting (XGBoost / LightGBM) in terms of error reduction (bias vs. variance), parallelizability, and sensitivity to noise.",bagging bootstrap aggregation variance reduction independent parallel trees boosting sequential learning gradient descent residual fitting bias reduction outlier sensitivity learning rate subsampling,"Machine Learning Engineer,Data Scientist"
203,Classical ML,SVM,Hard,How does the dual formulation of Support Vector Machines enable the Kernel Trick? Explain Mercer's condition.,primal problem lagrangian multipliers dual formulation dot product inner product feature space high dimensional transformation mercer condition positive semi-definite kernel rbf polynomial hinge loss,"Machine Learning Engineer,Data Scientist"
204,Statistics & Inference,Statistics,Medium,"Explain statistical hypothesis testing, Type I and Type II errors, p-values, and statistical power in the context of A/B testing.",null hypothesis alternative hypothesis type i error false positive alpha significance level type ii error false negative beta power sample size effect size z-test t-test,"Data Scientist,Data Analyst,Machine Learning Engineer"
205,Data Science & Pandas,Feature Engineering,Easy,"How do you detect and handle multicollinearity in regression modeling, and why does high multicollinearity destabilize coefficient interpretation?",multicollinearity high correlation variance inflation factor vif standard errors inflated p-values unstable coefficients feature drop ridge regularization l2 pca dimensionality reduction,"Data Scientist,Data Analyst,Machine Learning Engineer"
206,Unsupervised Learning,Clustering,Medium,"Explain the objective function of K-Means clustering. What are its fundamental limitations, and how does DBSCAN address non-spherical clusters?",kmeans wcss within cluster sum of squares inertia centroid convergence initialization kmeans plus plus dbscan density based epsilon minpts core points border noise arbitrary shape clusters,"Data Scientist,Machine Learning Engineer,Data Analyst"
207,Evaluation Metrics,Classification,Medium,"Why is accuracy a misleading metric in severe class imbalance, and how do Precision-Recall AUC (PR-AUC) and ROC-AUC behave differently under extreme skew?",class imbalance accuracy paradox false positives false negatives precision recall f1 score roc-auc true positive rate false positive rate pr-auc baseline prevalence sensitive minority class,"Data Scientist,Machine Learning Engineer,Data Analyst"
208,Dimensionality Reduction,Statistics,Hard,Explain Principal Component Analysis (PCA) through eigenvalue decomposition of the covariance matrix and Singular Value Decomposition (SVD).,pca covariance matrix mean centering variance maximization orthogonal eigenvectors eigenvalues principal components singular value decomposition svd dimensionality reduction information loss explained variance ratio,"Data Scientist,Machine Learning Engineer"
301,Operating Systems,Operating Systems,Hard,"What is the difference between a process and a thread? Explain process context switching, virtual memory, and page fault handling.",process thread shared address space thread control block process control block context switch register state overhead virtual memory page table mmu page fault disk swap tlb cache miss,"Software Engineer,Computer Science Core,Systems Engineer,Backend Developer"
302,Operating Systems,Concurrency,Medium,"What are the four Coffman conditions necessary for deadlock to occur? How do mutexes, semaphores, and spinlocks differ?",deadlock coffman conditions mutual exclusion hold and wait no preemption circular wait mutex binary lock semaphore signaling counting spinlock busy waiting race condition critical section,"Software Engineer,Computer Science Core,Backend Developer,Systems Engineer"
